,0,1,2,3,4,5,6,7,8,9
0,0.0,1.2158246966399785e-41,2.254706426653148e-43,7.368100308565842e-46,7.642460044051239e-50,2.316184816858062e-56,1.2319639384019136e-65,1.8509120487509655e-76,1.0263695982766741e-88,0.0
1,4.666288480701829e-42,3.791158643362699e-37,4.6361876050175206e-38,8.658099662132824e-39,2.817930617788105e-40,3.902936964846246e-43,6.162810987711774e-49,1.224936257355416e-57,4.3089207682496313e-70,3.4906920490960122e-87
2,1.2246891689224962e-38,6.932462661437554e-36,9.054455117530372e-37,5.645604069856974e-38,1.5057812294759437e-39,3.756432702836775e-42,1.4254018800244441e-46,1.1529465461226563e-53,2.5410487831047453e-64,1.8432520951026016e-79
3,1.634669195481181e-38,5.188044749460749e-37,2.506396570366877e-37,2.5120366324347517e-38,1.4225808070870466e-39,1.5576178317093042e-41,4.558582519552975e-45,4.451088851795306e-51,1.6865668858117556e-60,2.7964359808727195e-74
4,6.373750663024808e-41,9.678578795038995e-40,1.3294477963358614e-39,1.150658142897472e-39,1.5678736560977692e-40,5.773251314946198e-42,5.192896575132612e-45,2.1043105037743395e-50,4.1825820058295415e-59,4.376330895020092e-72
5,2.265159967751575e-45,9.445918870304929e-42,1.1413214607440503e-40,1.0144346434943726e-40,1.5948949396888479e-41,1.4957753950941135e-42,1.9492260577010133e-45,1.2531067160185436e-50,4.289865996754412e-59,8.243268160974016e-72
6,4.339005691187428e-43,2.8042599135423075e-41,6.786833910054103e-41,2.5934182079345107e-41,2.602212416103146e-42,8.900275208179815e-44,8.135936003190682e-47,3.2974024281466154e-52,6.554003234666006e-61,6.857602983504876e-74
7,5.852537685409938e-41,7.159793802470337e-40,1.407455129314537e-40,1.216460599699658e-41,7.881265990266856e-43,9.429602954568994e-45,2.783335456796633e-48,2.718024924012185e-54,1.0298900088628078e-63,1.707623635536462e-77
8,1.0375938211405663e-39,1.8717128385727998e-39,1.5368847446065387e-40,9.903634797027217e-42,2.8374588604594835e-43,7.300525658200585e-46,2.780788461929404e-50,2.2494805648609172e-57,4.957768847290738e-68,3.5963173456423834e-83
9,0.0,1.1191569023313045e-40,8.182684210901449e-42,2.628298215107539e-43,1.3192843227168151e-45,1.4444992908857577e-49,4.390917363523389e-56,4.4711257729771365e-66,1.7439791680583522e-80,0.0
